,userID,placeID,rating,food_rating,service_rating,latitude,longitude,smoker,drink_level,dress_preference,ambience,transport,marital_status,hijos,birth_year,interest,personality,religion,activity,color,weight,budget,height,user_cuisines,n_user_cuisines,user_payments,n_user_payments,latitude_rest,longitude_rest,the_geom_meter,name,address,city,state,country,zip,alcohol,smoking_area,dress_code,accessibility,price,Rambience,franchise,area,other_services,rest_cuisines,n_rest_cuisines,rest_payments,n_rest_payments,rest_parking_types,hours_Mon,hours_Tue,hours_Wed,hours_Thu,hours_Fri,hours_Sat,hours_Sun,subrating_mean,subrating_gap,subrating_gap_abs,user_mean_rating_loo,place_mean_rating_loo
0,U1077,135085,2,2,2,22.156469,-100.98554,False,social drinker,elegant,family,public,married,kids,1987,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,Mexican,1,VISA | bank_debit_cards | cash,3.0,22.150802,-100.98268,0101000020957F00009F823DA6094858C18A2D4D37F9A44B41,Tortas Locas Hipocampo,Venustiano Carranza 719 Centro,San Luis Potosi,San Luis Potosi,Mexico,78000,No_Alcohol_Served,not permitted,informal,no_accessibility,medium,familiar,False,closed,none,Fast_Food,1.0,cash,1.0,public,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,2.0,0,0,1.25,1.3142857142857143
1,U1077,135038,2,2,1,22.156469,-100.98554,False,social drinker,elegant,family,public,married,kids,1987,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,Mexican,1,VISA | bank_debit_cards | cash,3.0,22.155651,-100.977767,0101000020957F0000506149736E4758C1A8BC93DA48A34B41,Restaurant la Chalita,Guajardo Sn San Luis Potosi Centro,San Luis Potosi,San Luis Potosi,Mexico,78000,No_Alcohol_Served,section,informal,no_accessibility,medium,familiar,False,closed,none,,,cash,1.0,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,00:00-00:00,1.5,1,1,1.25,1.173913043478261
2,U1077,132825,2,2,2,22.156469,-100.98554,False,social drinker,elegant,family,public,married,kids,1987,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,Mexican,1,VISA | bank_debit_cards | cash,3.0,22.147392,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,esquina santos degollado y leon guzman,San Luis Potosi,San Luis Potosi,Mexico,78280,No_Alcohol_Served,none,informal,completely,low,familiar,False,open,none,Mexican,1.0,cash,1.0,,09:00-12:00,09:00-12:00,09:00-12:00,09:00-12:00,09:00-12:00,09:00-12:00,09:00-12:00,2.0,0,0,1.25,1.2580645161290323
3,U1077,135060,1,2,2,22.156469,-100.98554,False,social drinker,elegant,family,public,married,kids,1987,technology,thrifty-protector,Catholic,student,blue,65,medium,1.71,Mexican,1,VISA | bank_debit_cards | cash,3.0,22.156883,-100.978485,0101000020957F00004C95C918394758C17A5C44896AA34B41,Restaurante Marisco Sam,Ignacio Allende 785 Centro,San Luis Potosi,San Luis Potosi,Mexico,78310,No_Alcohol_Served,none,informal,no_accessibility,medium,familiar,False,closed,none,Seafood,1.0,cash,1.0,,11:30-19:00,11:30-19:00,11:30-19:00,11:30-19:00,11:30-19:00,11:30-19:00,11:30-19:00,2.0,0,0,1.5,1.1428571428571428
4,U1068,135104,1,1,2,23.752269,-99.168605,False,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,Mexican,1,cash,1.0,23.752982,-99.168434,0101000020957F00007CDF5EAFC58157C1645743B23E4F4941,vips,,,,,,Full_Bar,not permitted,informal,completely,medium,familiar,True,closed,variety,Mexican,1.0,MasterCard-Eurocard | VISA | cash,3.0,yes,00:00-23:30,00:00-23:30,00:00-23:30,00:00-23:30,00:00-23:30,00:00-23:30,00:00-23:30,1.5,-1,1,0.5714285714285714,0.8333333333333334
5,U1068,132740,0,0,0,23.752269,-99.168605,False,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,Mexican,1,cash,1.0,23.752196,-99.166632,0101000020957F000027A30471EE8157C1AC17D61EC84E4941,Carreton de Flautas y Migadas,,Ciudad Victoria,Tamaulipas,Mexico,,No_Alcohol_Served,permitted,informal,completely,low,familiar,False,open,none,Mexican,1.0,cash,1.0,,08:30-12:00,08:30-12:00,08:30-12:00,08:30-12:00,08:30-12:00,08:30-12:00,08:30-12:00,0.0,0,0,0.7142857142857143,0.8571428571428571
6,U1068,132663,1,1,1,23.752269,-99.168605,False,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,Mexican,1,cash,1.0,23.752511,-99.166954,0101000020957F0000FDF8D26EE08157C1FEDB6A1FDB4E4941,tacos abi,,Ciudad Victoria,Tamaulipas,Mexico,,No_Alcohol_Served,none,informal,completely,low,familiar,False,closed,none,Mexican,1.0,,,,00:00-23:30,00:00-23:30,00:00-23:30,00:00-23:30,00:00-23:30,00:00-23:30,00:00-23:30,1.0,0,0,0.5714285714285714,0.4
7,U1068,132732,0,0,0,23.752269,-99.168605,False,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,Mexican,1,cash,1.0,23.754357,-99.171288,0101000020957F00008A20E615808157C16272FECBF84F4941,Taqueria EL amigo,Calle Mezquite Fracc Framboyanes,Ciudad Victoria,Tamaulipas,Mexico,87018,No_Alcohol_Served,none,casual,completely,low,familiar,False,open,none,Mexican,1.0,cash,1.0,,19:00-01:00,19:00-01:00,19:00-01:00,19:00-01:00,19:00-01:00,19:00-01:00,19:00-01:00,0.0,0,0,0.7142857142857143,0.7142857142857143
8,U1068,132630,1,1,1,23.752269,-99.168605,False,casual drinker,informal,friends,public,single,independent,1988,technology,thrifty-protector,Catholic,student,blue,72,low,1.57,Mexican,1,cash,1.0,23.75293,-99.164472,0101000020957F000047206572DE8157C1D3315028254E4941,palomo tec,blvrd emilio portes gil,Ciudad Victoria,Tamaulipas,,,No_Alcohol_Served,none,informal,completely,low,familiar,False,closed,none,Mexican,1.0,,,,00:00-23:30,00:00-23:30,00:00-23:30,00:00-23:30,00:00-23:30,00:00-23:30,00:00-23:30,1.0,0,0,0.5714285714285714,1.2
9,U1067,132584,2,2,2,23.752269,-99.168605,False,abstemious,no preference,family,public,single,independent,1987,technology,thrifty-protector,Christian,student,green,92,medium,1.73,Mexican,1,cash,1.0,23.752365,-99.165288,0101000020957F000048C65BA7EF8157C177F2344D664E4941,Gorditas Dona Tota,,,,,,No_Alcohol_Served,not permitted,informal,completely,medium,familiar,True,closed,none,Mexican,1.0,cash,1.0,yes,08:30-20:00,08:30-20:00,08:30-20:00,08:30-20:00,08:30-20:00,09:00-22:00,09:00-20:30,2.0,0,0,0.8,1.2
10,U1067,132733,1,1,1,23.752269,-99.168605,False,abstemious,no preference,family,public,single,independent,1987,technology,thrifty-protector,Christian,student,green,92,medium,1.73,Mexican,1,cash,1.0,23.752707,-99.162566,0101000020957F0000F2F4110CF28157C1DCFD7C1BA04D4941,Little Cesarz,,Ciudad Victoria,Tamaulipas,Mexico,,No_Alcohol_Served,not permitted,informal,completely,medium,familiar,True,closed,none,Pizzeria,1.0,MasterCard-Eurocard | VISA | bank_debit_cards | cash,4.0,yes,10:30-22:30,10:30-22:30,10:30-22:30,10:30-22:30,10:30-22:30,10:30-22:30,09:00-21:00,1.0,0,0,1.0,1.3333333333333333
11,U1067,132732,1,2,2,23.752269,-99.168605,False,abstemious,no preference,family,public,single,independent,1987,technology,thrifty-protector,Christian,student,green,92,medium,1.73,Mexican,1,cash,1.0,23.754357,-99.171288,0101000020957F00008A20E615808157C16272FECBF84F4941,Taqueria EL amigo,Calle Mezquite Fracc Framboyanes,Ciudad Victoria,Tamaulipas,Mexico,87018,No_Alcohol_Served,none,casual,completely,low,familiar,False,open,none,Mexican,1.0,cash,1.0,,19:00-01:00,19:00-01:00,19:00-01:00,19:00-01:00,19:00-01:00,19:00-01:00,19:00-01:00,2.0,0,0,1.0,0.5714285714285714
12,U1067,132630,1,0,1,23.752269,-99.168605,False,abstemious,no preference,family,public,single,independent,1987,technology,thrifty-protector,Christian,student,green,92,medium,1.73,Mexican,1,cash,1.0,23.75293,-99.164472,0101000020957F000047206572DE8157C1D3315028254E4941,palomo tec,blvrd emilio portes gil,Ciudad Victoria,Tamaulipas,,,No_Alcohol_Served,none,informal,completely,low,familiar,False,closed,none,Mexican,1.0,,,,00:00-23:30,00:00-23:30,00:00-23:30,00:00-23:30,00:00-23:30,00:00-23:30,00:00-23:30,0.5,-1,1,1.0,1.2
13,U1067,135104,0,0,0,23.752269,-99.168605,False,abstemious,no preference,family,public,single,independent,1987,technology,thrifty-protector,Christian,student,green,92,medium,1.73,Mexican,1,cash,1.0,23.752982,-99.168434,0101000020957F00007CDF5EAFC58157C1645743B23E4F4941,vips,,,,,,Full_Bar,not permitted,informal,completely,medium,familiar,True,closed,variety,Mexican,1.0,MasterCard-Eurocard | VISA | cash,3.0,yes,00:00-23:30,00:00-23:30,00:00-23:30,00:00-23:30,00:00-23:30,00:00-23:30,00:00-23:30,0.0,0,0,1.2,1.0
14,U1067,132560,1,0,0,23.752269,-99.168605,False,abstemious,no preference,family,public,single,independent,1987,technology,thrifty-protector,Christian,student,green,92,medium,1.73,Mexican,1,cash,1.0,23.752304,-99.166913,0101000020957F0000FC60BDA8E88157C1B2C357D6DA4E4941,puesto de gorditas,frente al tecnologico,Ciudad Victoria,Tamaulipas,Mexico,,No_Alcohol_Served,permitted,informal,no_accessibility,low,familiar,False,open,none,Regional,1.0,cash,1.0,public,08:00-12:00,08:00-12:00,08:00-12:00,08:00-12:00,08:00-12:00,00:00-00:00,00:00-00:00,0.0,0,0,1.0,0.3333333333333333
15,U1103,132584,1,2,1,23.752265,-99.16859,False,abstemious,formal,friends,public,single,independent,1989,technology,hard-worker,Jewish,professional,green,118,medium,1.9,Mexican,1,bank_debit_cards | cash,2.0,23.752365,-99.165288,0101000020957F000048C65BA7EF8157C177F2344D664E4941,Gorditas Dona Tota,,,,,,No_Alcohol_Served,not permitted,informal,completely,medium,familiar,True,closed,none,Mexican,1.0,cash,1.0,yes,08:30-20:00,08:30-20:00,08:30-20:00,08:30-20:00,08:30-20:00,09:00-22:00,09:00-20:30,1.5,1,1,1.1428571428571428,1.4
16,U1103,132732,0,0,2,23.752265,-99.16859,False,abstemious,formal,friends,public,single,independent,1989,technology,hard-worker,Jewish,professional,green,118,medium,1.9,Mexican,1,bank_debit_cards | cash,2.0,23.754357,-99.171288,0101000020957F00008A20E615808157C16272FECBF84F4941,Taqueria EL amigo,Calle Mezquite Fracc Framboyanes,Ciudad Victoria,Tamaulipas,Mexico,87018,No_Alcohol_Served,none,casual,completely,low,familiar,False,open,none,Mexican,1.0,cash,1.0,,19:00-01:00,19:00-01:00,19:00-01:00,19:00-01:00,19:00-01:00,19:00-01:00,19:00-01:00,1.0,-2,2,1.2857142857142858,0.7142857142857143
